iter	RMSE
0	3.104263903
1	3.009610124
2	2.928288583
3	2.849720126
4	2.782353013
5	2.717089992
6	2.659816751
7	2.606154798
8	2.557821549
9	2.514017608
10	2.471188076
11	2.431311529
12	2.39482242
13	2.361296338
14	2.334333837
15	2.306312235
16	2.283668978
17	2.258562497
18	2.235984133
19	2.218299279
20	2.200099112
21	2.183120573
22	2.166741903
23	2.15309949
24	2.139421029
25	2.128345892
26	2.118723589
27	2.107991408
28	2.098769842
29	2.089394377
30	2.081213485
31	2.072916087
32	2.065217781
33	2.058386414
34	2.052939275
35	2.04714321
36	2.042107907
37	2.035748692
38	2.031159227
39	2.025404036
40	2.020984602
41	2.015842054
42	2.011525254
43	2.008060254
44	2.004065368
45	2.000030649
46	1.996803815
47	1.993728041
48	1.989799229
49	1.986376789
50	1.983378495
51	1.980514971
52	1.97748808
53	1.974787586
54	1.97202624
55	1.969028251
56	1.967327266
57	1.963928407
58	1.961791652
59	1.959551299
60	1.957550951
61	1.95598262
62	1.954516128
63	1.952755649
64	1.950207517
65	1.948297315
66	1.947131099
67	1.945405366
68	1.944522531
69	1.943048728
70	1.94217625
71	1.940174659
72	1.938356126
73	1.936995634
74	1.935460508
75	1.934013985
76	1.932568236
77	1.931281241
78	1.929960702
79	1.928470864
80	1.927054153
81	1.924688945
82	1.922714942
83	1.921785404
84	1.920524356
85	1.919108683
86	1.917825589
87	1.916025533
88	1.915060372
89	1.914323179
90	1.913324782
91	1.912442739
92	1.911977359
93	1.911065419
94	1.910103936
95	1.90874358
96	1.907012602
97	1.906057716
98	1.904711828
99	1.903983108
100	1.902824982
101	1.901756654
102	1.900578833
103	1.899944379
104	1.898591804
105	1.897359614
106	1.896790006
107	1.896089974
108	1.894726202
109	1.893645237
110	1.892213938
111	1.891439714
112	1.890642825
113	1.889609118
114	1.888090742
115	1.887662735
116	1.886871994
117	1.886160556
118	1.885548229
119	1.884496114
120	1.883889709
121	1.882524349
122	1.881710444
123	1.881208725
124	1.880166996
125	1.879248428
126	1.878564513
127	1.876983794
128	1.876264013
129	1.875436085
130	1.874142304
131	1.873273639
132	1.872701748
133	1.871773838
134	1.870961845
135	1.869816202
136	1.868519246
137	1.866982333
138	1.865573833
139	1.864824849
140	1.864365467
141	1.863586022
142	1.862914893
143	1.861991139
144	1.860820651
145	1.859819792
146	1.859376311
147	1.858516274
148	1.857646205
149	1.856813345
150	1.855849881
151	1.855136976
152	1.854514895
153	1.853569578
154	1.852520867
155	1.851308373
156	1.850672068
157	1.84993779
158	1.849473469
159	1.848416403
160	1.84755098
161	1.846776568
162	1.845410985
163	1.844648206
164	1.843877546
165	1.84323589
166	1.842155491
167	1.841298763
168	1.840664537
169	1.84005483
170	1.839383893
171	1.838010536
172	1.837591781
173	1.836864938
174	1.836369105
175	1.83560464
176	1.834589923
177	1.834303316
178	1.833507028
179	1.832504027
180	1.830991569
181	1.8300905
182	1.829218446
183	1.828805904
184	1.827726372
185	1.826959702
186	1.825679058
187	1.825095842
188	1.824603889
189	1.823240263
190	1.821849668
191	1.821333215
192	1.820633987
193	1.819622514
194	1.818368945
195	1.817071285
196	1.81671067
197	1.81558991
198	1.814789178
199	1.813919254
200	1.813507192
201	1.813139212
202	1.812432041
203	1.812235349
204	1.811181135
205	1.810503975
206	1.809415578
207	1.808394937
208	1.807632851
209	1.806927013
210	1.806537658
211	1.80554843
212	1.804305347
213	1.803226132
214	1.802627682
215	1.801769178
216	1.800724642
217	1.799917469
218	1.79896543
219	1.798446982
220	1.798128833
221	1.797325841
222	1.796492571
223	1.795884573
224	1.794891179
225	1.794366304
226	1.793199125
227	1.79254422
228	1.7917379
229	1.790611537
230	1.789515629
231	1.789118024
232	1.788733617
233	1.787868247
234	1.787488688
235	1.786858439
236	1.786511106
237	1.785809444
238	1.785154834
239	1.784378618
240	1.783346681
241	1.782724427
242	1.782079832
243	1.780982457
244	1.780389615
245	1.779826166
246	1.778907833
247	1.778285419
248	1.77788244
249	1.777331785
250	1.776345853
251	1.775444282
252	1.774512152
253	1.773880947
254	1.773424928
255	1.772522138
256	1.771926966
257	1.771237666
258	1.770780861
259	1.770238857
260	1.770062028
261	1.769348107
262	1.768570768
263	1.768234007
264	1.76763623
265	1.767052697
266	1.766736008
267	1.766250657
268	1.765179275
269	1.763953046
270	1.763173089
271	1.762417653
272	1.761383602
273	1.760828069
274	1.760246728
275	1.75927685
276	1.758426304
277	1.757516533
278	1.7568116
279	1.756488736
280	1.755647491
281	1.755088073
282	1.754442472
283	1.753346823
284	1.752493069
285	1.75163793
286	1.750932043
287	1.750178865
288	1.750041817
289	1.749305727
290	1.748543189
291	1.748217126
292	1.747947498
293	1.747347238
294	1.746903045
295	1.746439852
296	1.745688655
297	1.745135841
298	1.74420688
299	1.743693671
300	1.742914758
301	1.741856513
302	1.741256441
303	1.741015513
304	1.740488144
305	1.740025492
306	1.739246667
307	1.738993154
308	1.738369727
309	1.737598641
310	1.737000736
311	1.736477495
312	1.736001806
313	1.73523922
314	1.734314822
315	1.733820022
316	1.733466236
317	1.73288588
318	1.732745836
319	1.732628705
320	1.732055419
321	1.731588566
322	1.730982445
323	1.730440284
324	1.73026165
325	1.729616091
326	1.729281338
327	1.7289126
328	1.728227874
329	1.727601296
330	1.726697633
331	1.726235334
332	1.725472015
333	1.724645835
334	1.724017466
335	1.723570133
336	1.723191877
337	1.722756761
338	1.722001931
339	1.721277465
340	1.721072191
341	1.720419178
342	1.72013339
343	1.719150137
344	1.71817993
345	1.717531323
346	1.717068669
347	1.716966311
348	1.716373726
349	1.715732699
350	1.715106161
351	1.714913972
352	1.714424979
353	1.713926821
354	1.71335453
355	1.712966397
356	1.712459758
357	1.712226413
358	1.711562749
359	1.711176545
360	1.711005466
361	1.710469073
362	1.709753192
363	1.709088554
364	1.708965573
365	1.708466471
366	1.707942318
367	1.707343501
368	1.706909491
369	1.706101324
370	1.705533293
371	1.704886321
372	1.704106857
373	1.703627741
374	1.702964722
375	1.702580406
376	1.701880641
377	1.701255631
378	1.700847121
379	1.700274889
380	1.699991247
381	1.699873719
382	1.699537446
383	1.699339415
384	1.69887917
385	1.698522927
386	1.698115565
387	1.697633204
388	1.697094794
389	1.696931693
390	1.696088641
391	1.695548995
392	1.695114014
393	1.694683703
394	1.694187958
395	1.693328423
396	1.692887909
397	1.692298943
398	1.691421863
399	1.690647359
400	1.689945102
401	1.689384837
402	1.688812423
403	1.68815736
404	1.687630551
405	1.68698162
406	1.686708277
407	1.686444035
408	1.686065153
409	1.685651139
410	1.685101014
411	1.684774505
412	1.684551132
413	1.684331204
414	1.684184042
415	1.683560414
416	1.683276447
417	1.683024132
418	1.682752361
419	1.682306932
420	1.682153944
421	1.68164365
422	1.681536411
423	1.681174999
424	1.680502608
425	1.680073555
426	1.679714882
427	1.67907757
428	1.678738484
429	1.678200556
430	1.677613094
431	1.677091701
432	1.676808829
433	1.67640011
434	1.675974405
435	1.675600929
436	1.674951817
437	1.674462682
438	1.67413058
439	1.674031584
440	1.673594777
441	1.672810246
442	1.67262754
443	1.671934462
444	1.671388311
445	1.671168914
446	1.670752379
447	1.670672647
448	1.670411439
449	1.669989099
450	1.669451501
451	1.669038746
452	1.668570779
453	1.668549615
454	1.668215636
455	1.66776693
456	1.667211036
457	1.666794099
458	1.666407819
459	1.666346686
460	1.666272545
461	1.665833941
462	1.665698043
463	1.665466643
464	1.664695065
465	1.664105205
466	1.663808319
467	1.663432853
468	1.662921909
469	1.662729142
470	1.662173736
471	1.661572742
472	1.661484525
473	1.660951086
474	1.660439011
475	1.660237628
476	1.659733511
477	1.659032742
478	1.658895869
479	1.658538057
480	1.657785187
481	1.657265664
482	1.657011498
483	1.656787708
484	1.656391648
485	1.655901491
486	1.655554469
487	1.65515777
488	1.655042201
489	1.654728388
490	1.654022243
491	1.653610577
492	1.653336628
493	1.653127238
494	1.652599763
495	1.65206061
496	1.651622762
497	1.651060455
498	1.650753157
499	1.650244373
500	1.649603065
501	1.649540633
502	1.649086797
503	1.649067899
504	1.648975941
505	1.648191385
506	1.647895098
507	1.647763187
508	1.647317549
509	1.647263797
510	1.64716668
511	1.647116152
512	1.646842306
513	1.64616915
514	1.645660429
515	1.64534168
516	1.644963621
517	1.643969842
518	1.643570129
519	1.64345993
520	1.642935165
521	1.642609763
522	1.642159233
523	1.642026917
524	1.641706574
525	1.64158432
526	1.641567503
527	1.64117464
528	1.640964235
529	1.640671778
530	1.640377205
531	1.639990015
532	1.639747391
533	1.639705233
534	1.639272492
535	1.639107115
536	1.638580442
537	1.63853012
538	1.638156123
539	1.637710055
540	1.637405901
541	1.637027115
542	1.63664947
543	1.636273957
544	1.635960235
545	1.635452564
546	1.634603226
547	1.634176911
548	1.633898481
549	1.633705075
550	1.633325665
551	1.633171433
552	1.63240678
553	1.631952974
554	1.631696215
555	1.631683287
556	1.631643554
557	1.6314496
558	1.631046872
559	1.6310198
560	1.63097524
561	1.630919101
562	1.630773382
563	1.63054471
564	1.630241429
565	1.629808627
566	1.629496967
567	1.629009792
568	1.6285575
569	1.628243021
570	1.627575346
571	1.627225604
572	1.626600344
573	1.626338462
574	1.626068976
575	1.625833988
576	1.625560688
577	1.625358635
578	1.624818705
579	1.624540557
580	1.623575073
581	1.623206907
582	1.622881344
583	1.622203186
584	1.621721559
585	1.62134107
586	1.621065979
587	1.62094911
588	1.620732717
589	1.620672468
590	1.620361427
591	1.619972204
592	1.61986053
593	1.619442133
594	1.619141671
595	1.619018499
596	1.618462709
597	1.618044735
598	1.61758023
599	1.617291206
600	1.616980725
601	1.616707986
602	1.616284129
603	1.616061159
604	1.615642434
605	1.615196496
606	1.61488904
607	1.614409356
608	1.614028556
609	1.613479564
610	1.61314487
611	1.612950618
612	1.6128254
613	1.612345378
614	1.611835241
615	1.611674492
616	1.611629022
617	1.611592592
618	1.61132082
619	1.61105555
620	1.610961954
621	1.610495139
622	1.609980107
623	1.60987155
624	1.609760911
625	1.609750215
626	1.609572382
627	1.609251011
628	1.609015393
629	1.608899498
630	1.608335815
631	1.608136446
632	1.607941524
633	1.607929776
634	1.607918544
635	1.607194858
636	1.607184109
637	1.606868596
638	1.60685816
639	1.6067563
640	1.606271766
641	1.605805524
642	1.605428194
643	1.605390456
644	1.605055846
645	1.604663406
646	1.604341376
647	1.604331428
648	1.604220055
649	1.603665623
650	1.603656086
651	1.603321334
652	1.60273058
653	1.602723194
654	1.602300626
655	1.602003374
656	1.601880945
657	1.601603048
658	1.601030913
659	1.600548585
660	1.600443363
661	1.60007312
662	1.599532671
663	1.599218577
664	1.598948472
665	1.598469194
666	1.598237239
667	1.597953395
668	1.597455522
669	1.596896404
670	1.596385103
671	1.596060059
672	1.595526186
673	1.59525589
674	1.594946971
675	1.594421147
676	1.594119254
677	1.593794367
678	1.593485563
679	1.593093681
680	1.592887787
681	1.592432471
682	1.591969241
683	1.591634943
684	1.591278517
685	1.590830898
686	1.590540142
687	1.590299788
688	1.589995623
689	1.589670901
690	1.589640355
691	1.589274349
692	1.588960383
693	1.588572562
694	1.588124679
695	1.587656752
696	1.587381391
697	1.587138529
698	1.586882936
699	1.586496719
700	1.586278831
701	1.585877119
702	1.585314276
703	1.585285323
704	1.585007273
705	1.584420935
706	1.583844049
707	1.583655015
708	1.583278413
709	1.58305746
710	1.582698814
711	1.582537291
712	1.582149248
713	1.581768263
714	1.581325144
715	1.581145886
716	1.580941888
717	1.580526276
718	1.580146527
719	1.579498301
720	1.579306478
721	1.578962004
722	1.578515764
723	1.578267732
724	1.577624572
725	1.577261829
726	1.576923196
727	1.576893606
728	1.576410687
729	1.57598514
730	1.575677166
731	1.575381957
732	1.575062542
733	1.574866145
734	1.574461656
735	1.574344303
736	1.57407747
737	1.574052004
738	1.573399038
739	1.573128502
740	1.57249617
741	1.572337444
742	1.571830229
743	1.571629473
744	1.571230279
745	1.570885654
746	1.570770591
747	1.570678124
748	1.57035724
749	1.570042895
750	1.56970354
751	1.569440804
752	1.568941476
753	1.568758917
754	1.568074584
755	1.56735786
756	1.567130149
757	1.566841422
758	1.566426674
759	1.566080035
760	1.565674883
761	1.565321334
762	1.56523322
763	1.565008259
764	1.56484172
765	1.564378954
766	1.564352077
767	1.564255978
768	1.564154632
769	1.564048674
770	1.563931869
771	1.563694182
772	1.563470957
773	1.563115259
774	1.562946823
775	1.562693122
776	1.562261896
777	1.562054147
778	1.561843941
779	1.56175939
780	1.561449436
781	1.561334247
782	1.560995238
783	1.560638548
784	1.56053046
785	1.560466771
786	1.560191646
787	1.55988893
788	1.559340173
789	1.559063456
790	1.558734265
791	1.5581642
792	1.558078513
793	1.557611975
794	1.557604294
795	1.557343213
796	1.556993851
797	1.556791702
798	1.556397345
799	1.555944549
800	1.555669475
801	1.555143647
802	1.554863282
803	1.554388352
804	1.554151642
805	1.554068519
806	1.553853309
807	1.553478465
808	1.553281866
809	1.552824715
810	1.552616727
811	1.552419064
812	1.552362734
813	1.552125463
814	1.551888133
815	1.551559609
816	1.551504591
817	1.551315069
818	1.550944162
819	1.550487025
820	1.550254119
821	1.55024842
822	1.549917321
823	1.549427575
824	1.549079725
825	1.548835357
826	1.548560108
827	1.548370207
828	1.548122453
829	1.548079872
830	1.547918662
831	1.547744337
832	1.547636074
833	1.547335314
834	1.546878607
835	1.546612371
836	1.546190204
837	1.545781926
838	1.545776475
839	1.545684165
840	1.545472835
841	1.545301259
842	1.545105851
843	1.544844066
844	1.544473042
845	1.544140671
846	1.543872992
847	1.543633709
848	1.543467594
849	1.543193339
850	1.542648758
851	1.542255932
852	1.542159123
853	1.541868845
854	1.541427958
855	1.541002975
856	1.540766205
857	1.540680125
858	1.540445734
859	1.540379295
860	1.540295516
861	1.540214345
862	1.540103581
863	1.539493211
864	1.539139782
865	1.539055451
866	1.538935174
867	1.538399074
868	1.538021857
869	1.537931704
870	1.537670681
871	1.537471229
872	1.537258696
873	1.536835994
874	1.536817692
875	1.536326857
876	1.536130048
877	1.53576971
878	1.535549698
879	1.535092482
880	1.534476045
881	1.534229421
882	1.533999892
883	1.533720809
884	1.533393669
885	1.533160829
886	1.532929292
887	1.53266797
888	1.532502077
889	1.53229745
890	1.532096644
891	1.53187686
892	1.531682957
893	1.531337138
894	1.530925387
895	1.530653246
896	1.530397687
897	1.530149458
898	1.529921198
899	1.529713303
900	1.5292781
901	1.529078327
902	1.528722457
903	1.528404984
904	1.528180686
905	1.527873491
906	1.527447361
907	1.527205895
908	1.526848179
909	1.526648801
910	1.526455469
911	1.526059804
912	1.525693396
913	1.525312237
914	1.525148136
915	1.524709204
916	1.524483117
917	1.524157386
918	1.523602725
919	1.523206661
920	1.523044715
921	1.522716102
922	1.522606891
923	1.522066866
924	1.521789058
925	1.521437699
926	1.521336449
927	1.521129581
928	1.52079463
929	1.520380634
930	1.520220402
931	1.519843767
932	1.519448948
933	1.519069459
934	1.51883639
935	1.518729772
936	1.518415721
937	1.518401224
938	1.518321995
939	1.517860553
940	1.517474913
941	1.516914406
942	1.516707931
943	1.516423497
944	1.516281926
945	1.515974163
946	1.515750752
947	1.515351007
948	1.514853547
949	1.514723657
950	1.514400599
951	1.514150227
952	1.513730288
953	1.513623369
954	1.513475809
955	1.513205057
956	1.512959458
957	1.512898507
958	1.512792364
959	1.512454725
960	1.512258967
961	1.512237293
962	1.511988979
963	1.511637661
964	1.511411285
965	1.511186615
966	1.510864522
967	1.510358367
968	1.509944516
969	1.509554741
970	1.509125409
971	1.508683405
972	1.508080649
973	1.507946711
974	1.50760756
975	1.507375373
976	1.507287345
977	1.506835935
978	1.50667725
979	1.506550288
980	1.506176172
981	1.506102213
982	1.506081847
983	1.505573199
984	1.505476132
985	1.505053423
986	1.504849411
987	1.504559537
988	1.504400587
989	1.504133036
990	1.503708376
991	1.503344943
992	1.503101724
993	1.502632536
994	1.502578645
995	1.502370757
996	1.50221438
997	1.501989386
998	1.501839626
999	1.501593321
