iter	Passed	Remaining
0	10	10489
1	18	9186
2	27	9090
3	35	8963
4	44	8774
5	52	8702
6	60	8588
7	69	8598
8	77	8487
9	85	8474
10	93	8391
11	101	8340
12	109	8306
13	118	8352
14	126	8318
15	135	8311
16	143	8286
17	151	8257
18	159	8231
19	167	8226
20	176	8214
21	184	8200
22	191	8141
23	199	8114
24	207	8088
25	216	8091
26	223	8069
27	232	8077
28	240	8049
29	249	8052
30	256	8030
31	265	8033
32	273	8017
33	282	8018
34	290	7996
35	297	7973
36	305	7951
37	315	7980
38	322	7957
39	333	7992
40	340	7975
41	350	7991
42	359	8012
43	369	8028
44	378	8034
45	386	8012
46	394	7997
47	402	7975
48	410	7962
49	417	7934
50	426	7930
51	433	7907
52	442	7899
53	449	7872
54	458	7876
55	466	7856
56	476	7878
57	483	7852
58	491	7840
59	499	7824
60	508	7827
61	515	7805
62	524	7800
63	532	7784
64	540	7770
65	547	7753
66	556	7750
67	563	7729
68	572	7721
69	580	7710
70	588	7703
71	596	7694
72	605	7687
73	611	7655
74	619	7646
75	628	7635
76	638	7655
77	646	7644
78	661	7707
79	677	7787
80	688	7816
81	695	7789
82	704	7785
83	711	7754
84	719	7743
85	725	7714
86	733	7701
87	740	7675
88	748	7659
89	754	7631
90	761	7604
91	775	7649
92	786	7667
93	796	7680
94	805	7669
95	816	7684
96	835	7774
97	889	8189
98	907	8261
99	924	8316
100	934	8322
101	944	8316
102	952	8297
103	961	8285
104	969	8265
105	978	8254
106	988	8251
107	998	8242
108	1006	8223
109	1015	8215
110	1026	8224
111	1034	8203
112	1044	8194
113	1052	8178
114	1061	8165
115	1068	8139
116	1077	8132
117	1086	8121
118	1095	8112
119	1104	8098
120	1113	8086
121	1122	8079
122	1130	8059
123	1138	8040
124	1146	8025
125	1155	8014
126	1163	7995
127	1173	7994
128	1181	7980
129	1191	7975
130	1203	7982
131	1210	7961
132	1219	7946
133	1226	7929
134	1234	7911
135	1242	7895
136	1251	7886
137	1259	7868
138	1268	7855
139	1276	7839
140	1284	7827
141	1293	7813
142	1302	7806
143	1312	7803
144	1320	7785
145	1328	7771
146	1336	7754
147	1344	7737
148	1351	7719
149	1359	7701
150	1367	7689
151	1375	7672
152	1383	7661
153	1394	7658
154	1403	7653
155	1412	7639
156	1420	7628
157	1428	7613
158	1436	7597
159	1444	7584
160	1452	7567
161	1460	7554
162	1468	7541
163	1476	7528
164	1484	7514
165	1491	7493
166	1499	7480
