iter	MultiClass
0	1.028939777
1	0.9668636743
2	0.9151433483
3	0.8725451247
4	0.8320520271
5	0.8010359706
6	0.7694100148
7	0.7405694461
8	0.7165227883
9	0.6940905679
10	0.6747492592
11	0.6567563272
12	0.6407776254
13	0.625832307
14	0.6126382629
15	0.5994660278
16	0.5883871964
17	0.5791532028
18	0.5699226209
19	0.5617849637
20	0.55249013
21	0.5445251928
22	0.5389106683
23	0.531541159
24	0.5244130682
25	0.519309101
26	0.5131525949
27	0.5081939501
28	0.5024784045
29	0.4975836479
30	0.4936180142
31	0.4902463523
32	0.4863394386
33	0.4819959556
34	0.4786743537
35	0.4747189791
36	0.4715937889
37	0.4684240477
38	0.4655789921
39	0.4628744401
40	0.4601920925
41	0.4574228828
42	0.4539137799
43	0.4512780886
44	0.4495235037
45	0.4475042189
46	0.4447743792
47	0.4425742891
48	0.4401948276
49	0.4388738737
50	0.4370308464
51	0.4353106642
52	0.4332895964
53	0.431127362
54	0.4285248888
55	0.426617545
56	0.4252052405
57	0.4234536943
58	0.4220303238
59	0.4202114096
60	0.4178787254
61	0.415901902
62	0.4149097172
63	0.4131745484
64	0.4118277973
65	0.4104294492
66	0.4093044642
67	0.4073948346
68	0.4060420486
69	0.4045180251
70	0.4025032982
71	0.4001380619
72	0.3992984846
73	0.3980556548
74	0.3967171068
75	0.3944271226
76	0.3937000011
77	0.3921889599
78	0.3907904688
79	0.3898921706
80	0.3881229894
81	0.3868390736
82	0.3855153146
83	0.3841609672
84	0.3821614925
85	0.3812211506
86	0.3797947207
87	0.3789203834
88	0.3782679887
89	0.3770111302
90	0.3761781101
91	0.3750218163
92	0.3733756715
93	0.3722964003
94	0.3714982651
95	0.369055817
96	0.367478437
97	0.3656954149
98	0.3637754508
99	0.363055844
100	0.3613674052
101	0.359859732
102	0.3586394864
103	0.3572050432
104	0.3554370571
105	0.3545354925
106	0.3528064368
107	0.3511023547
108	0.3501053705
109	0.3489921073
110	0.3475824843
111	0.3464417341
112	0.3454584172
113	0.3444727257
114	0.3429207626
115	0.3415851993
116	0.3398999322
117	0.339120861
118	0.3381966779
119	0.3368533588
120	0.3363340493
121	0.3356073889
122	0.334217614
123	0.3333048684
124	0.3320792459
125	0.3308358593
126	0.3299598499
127	0.3288333908
128	0.3273873512
129	0.3263653007
130	0.325164984
131	0.3231087829
132	0.322045296
133	0.3212231548
134	0.3203936353
135	0.3186032269
136	0.3174827756
137	0.3163646149
138	0.3144903534
139	0.3137586004
140	0.3125587541
141	0.311763802
142	0.3104365196
143	0.3093727925
144	0.3084249272
145	0.3069957305
146	0.3057052926
147	0.3046618236
148	0.3031911302
149	0.3025707951
150	0.3017759706
151	0.3005751407
152	0.2997357856
153	0.2984671757
154	0.2978187652
155	0.2973518304
156	0.2961318878
157	0.2954198951
158	0.2947234378
159	0.2933059178
160	0.2927594289
161	0.292101318
162	0.2909045873
163	0.2900472071
164	0.2890467385
165	0.2882286398
166	0.2875798035
167	0.2860958652
168	0.2852660064
169	0.2844775924
170	0.2836987831
171	0.2821153776
172	0.2815611427
173	0.2805817032
174	0.2791103951
175	0.278478901
176	0.2777480325
177	0.2770954039
178	0.2761019527
179	0.2754054939
180	0.2746722448
181	0.2737527145
182	0.2731972452
183	0.2727592002
184	0.2718419906
185	0.2705510232
186	0.2694956514
187	0.268757446
188	0.2679926734
189	0.267427643
190	0.26623218
191	0.2649300147
192	0.2641544769
193	0.2635832002
194	0.2629293835
195	0.2620820077
196	0.2615928526
197	0.2608039958
198	0.2598538709
199	0.2589248266
200	0.2581673856
201	0.2573171273
202	0.2557608518
203	0.2550234331
204	0.2546140805
205	0.2536636514
206	0.2532686434
207	0.2523711017
208	0.2517878236
209	0.251239415
210	0.2506385579
211	0.249619055
212	0.2493339906
213	0.248694135
214	0.2482161038
215	0.2476552434
216	0.2467897057
217	0.2460390445
218	0.2453082044
219	0.2444614558
220	0.2442570363
221	0.2437755636
222	0.2430883803
223	0.2426212689
224	0.2420096716
225	0.2413651129
226	0.2405466628
227	0.2398992754
228	0.2393292859
229	0.2386161658
230	0.2381854292
231	0.2372850731
232	0.2363660039
233	0.2360865232
234	0.2352078024
235	0.2345560668
236	0.2341779138
237	0.2333484327
238	0.2326669169
239	0.2321284477
240	0.2315263593
241	0.2311631375
242	0.230863243
243	0.2303241006
244	0.2292248559
245	0.2287663009
246	0.2278615633
247	0.2275238161
248	0.226589315
249	0.225830384
250	0.2250370649
251	0.2241292801
252	0.2236604079
253	0.2231152284
254	0.2224440862
255	0.2217861061
256	0.2212489567
257	0.2207469691
258	0.2204129577
