iter	RMSE
0	76201.77945
1	75181.15472
2	73895.00598
3	72745.25192
4	71597.43037
5	70673.26412
6	69638.39929
7	68618.84238
8	67470.50495
9	66490.71199
10	65562.67338
11	64620.07545
12	63814.64587
13	62844.19973
14	61896.3364
15	60990.00914
16	60131.79434
17	59476.3476
18	58666.76155
19	58018.29897
20	57337.02013
21	56597.60136
22	55843.2116
23	55321.6058
24	54565.6552
25	53862.5623
26	53274.9807
27	52570.06976
28	51932.52557
29	51233.59525
30	50625.13477
31	50110.74836
32	49608.28889
33	49013.07183
34	48856.41799
35	48366.50395
36	47828.57669
37	47267.4552
38	47103.33517
39	46608.89901
40	46081.04148
41	45695.58015
42	45397.87744
43	44913.10676
44	44479.99461
45	44146.52581
46	43776.9381
47	43397.33539
48	43086.26111
49	42803.81818
50	42380.13491
51	42236.193
52	42117.19015
53	41725.31404
54	41331.09699
55	40939.08212
56	40814.7635
57	40541.64965
58	40200.77776
59	39806.00358
60	39483.62595
61	39372.50094
62	39231.32744
63	38865.80637
64	38509.54483
65	38394.04763
66	38261.49704
67	38098.66195
68	37769.36424
69	37509.27636
70	37413.2426
71	37059.88592
72	36788.74905
73	36439.66437
74	36261.41037
75	36140.06375
76	35794.21049
77	35595.05387
78	35342.82201
79	35057.79836
80	34915.6502
81	34641.23215
82	34349.21897
83	34178.16674
84	34022.97884
85	33717.49781
86	33385.28136
87	33251.343
88	33106.0285
89	32934.99581
90	32790.24456
91	32703.52233
92	32379.99522
93	32180.16816
94	31927.68265
95	31720.38009
96	31541.72116
97	31428.09095
98	31345.11176
99	31249.56713
100	31122.41768
101	31011.44534
102	30842.44945
103	30724.57643
104	30590.41986
105	30516.53291
106	30287.62795
107	30218.37225
108	29983.74254
109	29909.87365
110	29813.50657
111	29748.07533
112	29557.50382
113	29304.89361
114	29063.33017
115	28888.84895
116	28790.56689
117	28684.56972
118	28618.30582
119	28460.84895
120	28230.56488
121	28149.64092
122	28088.71946
123	27977.49137
124	27907.80237
125	27817.98203
126	27751.35411
127	27697.69425
128	27515.07575
129	27449.75285
130	27387.62479
131	27330.29612
132	27253.14823
133	27203.03276
134	27021.80611
135	26973.75205
136	26790.86984
137	26578.19675
138	26396.54059
139	26351.56862
140	26218.98117
141	26027.55226
142	25913.83694
143	25728.17259
144	25557.20935
145	25403.08049
146	25339.34937
147	25292.59714
148	25172.92826
149	25046.21382
150	24982.4045
151	24863.63544
152	24820.2948
153	24775.60693
154	24738.20339
155	24688.50817
156	24552.7863
157	24445.68178
158	24280.38615
159	24122.63152
160	24016.08035
161	23864.94872
162	23818.74481
163	23771.63047
164	23599.41882
165	23540.97536
166	23390.12539
167	23261.10453
168	23225.42463
169	23093.49661
170	22916.3749
171	22858.69235
172	22729.1815
173	22661.81309
174	22631.12917
175	22472.80161
176	22360.50338
177	22241.81612
178	22141.16896
179	22082.33781
180	22031.38301
181	21875.31161
182	21835.55474
183	21783.47315
184	21706.72966
185	21557.2537
186	21415.90275
187	21384.82936
188	21257.00856
189	21219.34252
190	21085.82653
191	20993.1242
192	20882.91028
193	20742.2449
194	20694.20219
195	20653.12517
196	20587.53461
197	20526.94159
198	20495.19115
199	20467.85905
200	20343.04538
201	20229.62574
202	20088.71557
203	19970.69584
204	19863.83704
205	19824.77497
206	19793.48055
207	19761.78487
208	19654.49271
209	19596.0277
210	19566.90474
211	19476.93272
212	19337.50744
213	19264.58635
214	19208.74267
215	19149.7962
216	19119.99109
217	18983.31788
218	18890.93225
219	18778.88357
220	18669.45003
221	18605.86911
222	18502.21694
223	18395.5094
224	18297.97662
225	18161.93651
226	18032.65683
227	17956.61211
228	17866.3364
229	17786.83827
230	17750.0429
231	17625.71591
232	17592.57067
233	17564.59606
234	17525.58806
235	17494.17829
236	17417.71455
237	17326.57042
238	17214.71122
239	17168.71717
240	17141.42983
241	17066.86822
242	16994.2627
243	16908.18218
244	16814.75209
245	16793.73416
246	16771.37027
247	16663.78523
248	16637.66893
249	16532.51507
250	16450.24949
251	16431.12101
252	16372.80705
253	16341.06265
254	16268.04058
255	16244.91641
256	16143.40624
257	16062.64513
258	15982.34009
259	15888.10193
260	15793.48285
261	15703.50768
262	15655.25306
263	15634.18428
264	15561.77971
265	15497.64327
266	15408.01534
267	15323.31025
268	15305.3367
269	15262.24811
270	15203.89088
271	15122.0011
272	15074.3055
273	15014.40743
274	14968.05927
275	14920.59044
276	14853.78621
277	14815.35754
278	14734.04392
279	14717.52817
280	14666.28348
281	14649.05408
282	14592.07038
283	14547.59537
284	14485.80918
285	14427.33707
286	14381.95774
287	14321.61852
288	14271.89977
289	14248.37471
290	14161.36413
291	14144.85859
292	14096.08218
293	14058.85061
294	13977.76134
295	13942.2996
296	13885.53905
297	13847.22312
298	13789.88487
299	13738.64797
300	13726.10601
301	13673.75142
302	13606.56866
303	13568.29639
304	13554.82134
305	13512.80524
306	13474.82092
307	13429.18729
308	13371.42418
309	13333.35673
310	13292.4337
311	13254.01925
312	13215.4749
313	13171.53027
314	13138.69462
315	13089.77784
316	13053.49885
317	12982.91116
318	12932.57023
319	12871.97782
320	12815.84286
321	12786.38881
322	12739.3058
323	12696.15426
324	12664.39681
325	12631.69774
326	12593.00255
327	12534.00646
328	12509.06128
329	12497.49328
330	12456.86209
331	12417.66474
332	12406.5952
333	12397.02227
334	12361.51984
335	12316.06309
336	12290.92297
337	12257.75318
338	12224.02517
339	12204.34608
340	12148.94924
341	12110.49105
342	12087.66529
343	12059.66317
344	12014.58414
345	12006.00417
346	11973.79667
347	11964.32105
348	11934.64875
349	11901.53829
350	11840.50644
351	11793.51054
352	11764.97776
353	11720.33057
354	11664.6084
355	11646.26739
356	11605.20731
357	11553.23164
358	11527.05047
359	11480.45492
360	11426.39503
361	11384.98673
362	11356.37706
363	11313.71105
364	11266.48313
365	11231.05086
366	11191.24946
367	11140.20132
368	11103.82963
369	11073.04146
370	11041.40315
371	10999.55032
372	10955.85978
373	10903.76053
374	10872.12784
375	10828.26958
376	10795.2853
377	10767.24172
378	10733.53231
379	10680.62318
380	10649.12858
381	10588.01667
382	10548.00071
383	10505.32223
384	10454.38121
385	10421.76046
386	10395.44269
387	10338.46926
388	10306.55786
389	10245.14493
390	10210.43162
391	10193.9013
392	10142.66702
393	10115.51765
394	10091.45721
395	10064.1417
396	10031.83807
397	10014.55428
398	9965.784552
399	9921.838633
400	9885.482132
401	9827.060752
402	9799.095567
403	9743.6652
404	9706.915976
405	9646.796171
406	9604.889282
407	9553.279294
408	9527.522261
409	9499.058936
410	9466.777513
411	9419.976312
412	9374.297129
413	9339.957398
414	9289.370338
415	9257.736806
416	9205.439886
417	9176.560321
418	9149.263832
419	9094.859129
420	9062.704723
421	9017.571357
422	8991.575212
423	8975.68531
424	8931.130441
425	8901.312426
426	8865.738275
427	8806.467779
428	8763.111209
429	8710.454946
430	8691.996359
431	8665.515671
432	8622.894378
433	8580.296943
434	8549.561705
435	8519.146179
436	8488.16662
437	8449.056648
438	8412.775858
439	8389.541901
440	8361.718634
441	8316.957021
442	8266.019653
443	8239.956326
444	8204.255291
445	8170.890783
446	8142.173668
447	8096.287884
448	8076.843309
449	8037.309743
450	8003.216748
451	7964.707618
452	7941.642959
453	7911.155214
454	7895.436019
455	7878.40493
456	7859.167419
457	7818.50366
458	7782.379708
459	7774.999045
460	7765.90519
461	7728.959671
462	7708.518714
463	7675.861492
464	7643.761466
465	7620.600815
466	7608.34062
467	7568.59479
468	7535.556686
469	7510.722994
470	7490.119292
471	7460.683837
472	7426.321954
473	7400.369615
474	7392.160634
475	7355.19076
476	7323.255042
477	7295.130717
478	7275.76662
479	7252.006101
480	7214.391681
481	7189.703997
482	7152.78531
483	7123.782508
484	7093.552038
485	7069.062505
486	7039.64367
487	7033.232418
488	7007.113153
489	6969.478644
490	6937.062592
491	6907.654508
492	6885.785118
493	6873.243608
494	6840.899176
495	6828.501516
496	6816.08252
497	6801.996536
498	6781.325012
499	6772.830497
500	6744.523205
501	6715.347807
502	6709.717337
503	6683.02566
504	6676.425186
505	6645.808612
506	6622.72637
507	6608.110327
508	6580.842691
509	6561.070113
510	6527.821881
511	6514.29065
512	6489.027426
513	6465.267639
514	6444.234351
515	6422.788171
516	6398.362349
517	6382.374122
518	6368.775666
519	6355.5897
520	6315.179547
521	6287.174105
522	6255.155462
523	6235.3794
524	6220.13349
525	6215.929031
526	6197.948332
527	6188.454095
528	6155.506848
529	6125.207558
530	6108.116762
531	6072.43717
532	6055.088491
533	6037.263554
534	6005.957984
535	5994.147426
536	5974.021958
537	5936.996703
538	5908.418074
539	5879.142213
540	5874.742706
541	5843.189029
542	5828.326262
543	5798.295486
544	5795.274397
545	5789.880279
546	5766.354526
547	5742.451003
548	5712.623016
549	5682.602857
550	5657.678694
551	5622.999546
552	5595.220427
553	5571.365946
554	5553.338236
555	5527.359725
556	5502.419292
557	5496.043002
558	5475.402772
559	5447.960192
560	5422.347093
561	5409.397796
562	5387.525054
563	5375.69705
564	5354.888987
565	5348.616257
566	5328.82941
567	5309.755712
568	5288.034547
569	5275.70039
570	5250.262734
571	5218.484049
572	5198.290104
573	5173.116727
574	5152.461454
575	5137.953635
576	5115.934191
577	5108.699743
578	5103.898717
579	5078.473671
580	5055.713124
581	5043.14927
582	5017.340003
583	5006.652857
584	4988.256467
585	4959.011891
586	4952.059245
587	4938.870806
588	4912.992019
589	4888.289275
590	4877.388665
591	4852.029849
592	4842.870835
593	4818.796922
594	4798.077341
595	4787.513811
596	4771.7865
597	4763.378509
598	4750.851501
599	4727.560985
600	4715.153535
601	4694.691116
602	4681.677247
603	4664.205675
604	4643.138034
605	4626.775335
606	4610.738542
607	4608.477042
608	4596.864828
609	4580.42424
610	4576.841031
611	4564.242757
612	4561.402684
613	4549.333132
614	4526.673113
615	4507.493331
616	4504.782632
617	4501.060915
618	4474.918576
619	4460.964274
620	4449.770754
621	4423.194757
622	4407.07943
623	4395.741962
624	4392.799167
625	4376.247563
626	4351.088919
627	4346.989015
628	4332.515947
629	4318.231578
630	4311.021685
631	4292.960877
632	4271.458858
633	4250.786676
634	4242.755121
635	4228.039022
636	4205.677753
637	4182.439764
638	4167.815091
639	4146.731186
640	4144.240295
641	4123.174843
642	4116.306892
643	4106.150634
644	4089.08416
645	4087.363332
646	4080.107128
647	4058.36288
648	4047.159463
649	4033.199985
650	4026.397299
651	4017.48158
652	4000.65954
653	3981.919393
654	3958.36119
655	3951.259157
656	3933.507075
657	3911.682573
658	3891.04035
659	3875.186314
660	3858.117916
661	3840.84652
662	3819.703449
663	3799.162378
664	3785.488088
665	3780.908387
666	3762.359086
667	3744.278217
668	3732.56624
669	3709.629588
670	3697.832746
671	3695.32075
672	3678.500921
673	3672.39034
674	3661.747284
675	3641.881549
676	3630.115381
677	3627.939598
678	3616.358075
679	3599.868224
680	3582.422884
681	3571.999074
682	3563.118737
683	3560.488569
684	3549.527585
685	3532.629401
686	3518.16479
687	3501.206693
688	3487.094221
689	3470.747551
690	3459.908396
691	3442.021326
692	3418.296932
693	3403.926481
694	3396.150751
695	3385.160385
696	3375.318101
697	3364.2974
698	3363.217607
699	3353.955216
700	3344.461545
701	3342.983242
702	3330.479593
703	3313.59212
704	3293.594947
705	3282.92688
706	3265.419063
707	3252.038553
708	3250.47674
709	3241.929507
710	3227.118312
711	3207.743232
712	3191.221334
713	3184.915418
714	3178.350126
715	3161.415752
716	3149.019367
717	3147.902358
718	3132.566199
719	3116.569396
720	3111.327366
721	3093.692491
722	3076.91343
723	3067.586824
724	3059.291685
725	3057.817192
726	3056.758767
727	3041.975375
728	3040.330128
729	3024.677186
730	3013.605586
731	3006.049939
732	3000.641009
733	2998.029819
734	2983.124136
735	2977.763788
736	2960.868703
737	2943.487431
738	2929.515709
739	2922.100842
740	2901.132558
741	2890.483168
742	2875.43639
743	2873.641192
744	2872.168025
745	2862.258194
746	2853.599142
747	2837.266552
748	2824.321306
749	2818.479734
750	2817.43262
751	2808.329398
752	2795.667736
753	2788.3174
754	2782.418681
755	2774.784366
756	2764.835116
757	2748.553187
758	2747.737645
759	2736.980872
760	2726.762637
761	2714.949128
762	2703.862767
763	2696.078226
764	2687.11072
765	2675.842489
766	2664.317852
767	2653.450782
768	2652.605135
769	2638.253173
770	2627.91903
771	2615.252289
772	2609.290466
773	2599.155981
774	2598.245272
775	2596.471534
776	2586.72168
777	2579.985702
778	2579.141706
779	2574.848074
780	2564.473945
781	2553.945284
782	2545.533831
783	2543.037814
784	2537.67755
785	2536.709501
786	2532.18823
787	2519.642558
788	2517.867369
789	2516.856403
790	2497.741798
791	2492.025451
792	2487.511845
793	2482.579271
794	2475.663368
795	2469.809278
796	2461.696995
797	2456.792355
798	2455.977008
799	2454.343966
800	2442.911443
801	2430.160151
802	2422.682584
803	2418.64972
804	2407.60915
805	2392.655336
806	2384.342051
807	2378.482842
808	2376.120894
809	2374.9419
810	2367.364738
811	2366.202541
812	2356.761458
813	2343.77397
814	2333.494768
815	2332.503662
816	2331.854994
817	2326.020557
818	2319.75467
819	2314.449493
820	2299.000628
821	2291.683746
822	2282.76501
823	2269.139826
824	2260.949188
825	2249.106575
826	2244.348968
827	2243.729789
828	2239.042253
829	2228.605959
830	2220.294075
831	2208.465975
832	2205.305003
833	2196.207421
834	2193.28652
835	2184.563153
836	2178.677279
837	2170.493764
838	2164.268721
839	2163.411517
840	2155.804943
841	2146.660425
842	2141.65239
843	2129.917355
844	2128.596104
845	2127.839218
846	2116.580667
847	2115.760366
848	2115.050284
849	2102.95463
850	2099.582884
851	2088.305594
852	2074.273294
853	2073.282561
854	2065.197004
855	2064.375997
856	2060.599595
857	2058.258674
858	2047.061713
859	2046.050185
860	2042.01936
861	2035.187634
862	2031.065578
863	2029.786494
864	2026.975406
865	2021.960968
866	2013.869236
867	2013.146005
868	2012.520762
869	2011.447292
870	2010.735689
871	2003.650071
872	1999.082898
873	1998.462599
874	1990.199321
875	1989.334082
876	1981.814706
877	1976.956977
878	1968.899228
879	1963.556444
880	1962.188235
881	1961.382203
882	1955.81963
883	1946.13756
884	1942.64346
885	1935.211452
886	1931.627615
887	1922.693093
888	1914.838821
889	1909.852164
890	1909.179819
891	1901.825923
892	1895.190432
893	1888.347308
894	1887.47895
895	1886.848506
896	1878.657052
897	1874.392329
898	1870.083166
899	1864.494817
900	1857.188647
901	1856.733957
902	1856.244089
903	1844.079661
904	1830.639873
905	1829.575795
906	1828.954333
907	1820.549266
908	1818.018937
909	1807.924548
910	1798.157343
911	1797.052068
912	1796.562089
913	1795.49755
914	1794.93091
915	1786.887631
916	1786.030634
917	1784.800155
918	1781.914482
919	1776.202021
920	1775.468073
921	1766.991977
922	1759.255409
923	1752.81738
924	1751.840648
925	1742.59453
926	1736.779632
927	1736.344787
928	1735.36071
929	1728.397601
930	1722.903789
931	1717.626507
932	1711.691255
933	1709.240082
934	1708.334008
935	1703.108818
936	1700.506124
937	1697.935575
938	1694.99495
939	1694.374667
940	1687.797948
941	1680.915261
942	1671.1161
943	1666.091351
944	1661.068613
945	1651.487088
946	1647.823227
947	1645.26909
948	1644.605466
949	1640.909146
950	1640.435227
951	1633.218877
952	1631.704833
953	1627.664976
954	1626.605282
955	1626.298134
956	1620.572631
957	1615.256044
958	1611.682124
959	1605.85478
960	1600.296434
961	1594.528366
962	1594.149411
963	1593.561707
964	1592.184654
965	1587.293844
966	1581.247841
967	1580.778495
968	1574.369275
969	1567.006872
970	1565.476457
971	1560.938428
972	1553.535414
973	1551.06427
974	1550.632096
975	1550.359831
976	1548.776533
977	1548.243937
978	1547.981205
979	1543.874433
980	1539.055071
981	1532.381586
982	1531.028291
983	1523.471288
984	1520.89583
985	1516.124669
986	1515.416804
987	1510.727815
988	1504.524693
989	1497.125488
990	1496.872402
991	1496.23275
992	1495.71552
993	1492.686962
994	1488.474135
995	1482.125292
996	1473.17171
997	1472.536729
998	1465.067466
999	1462.238221
254.07352
