iter	Passed	Remaining
0	1	572
1	3	573
2	5	531
3	6	504
4	8	487
5	9	486
6	11	481
7	13	480
8	14	481
9	16	491
10	22	602
11	24	591
12	29	650
13	32	665
14	34	654
15	35	642
16	37	627
17	38	614
18	40	605
19	42	600
20	46	629
21	48	619
22	50	609
23	51	601
24	53	593
25	61	656
26	63	648
27	64	638
28	67	633
29	68	626
30	70	619
31	72	610
32	75	618
33	77	611
34	79	604
35	80	597
36	82	591
37	83	584
38	85	578
39	87	572
40	91	586
41	93	580
42	94	572
43	96	567
44	97	561
45	99	558
46	101	553
47	103	548
48	104	542
49	107	543
50	108	537
51	110	531
52	111	526
53	113	521
54	114	516
55	116	511
56	117	507
57	119	503
58	121	504
59	124	502
60	126	500
61	129	503
62	135	515
63	137	513
64	139	510
65	141	507
66	142	503
67	144	499
68	149	506
69	152	506
70	153	503
71	155	498
72	156	494
73	158	489
74	159	485
75	161	481
76	163	479
77	164	475
78	166	471
79	167	467
80	169	463
81	170	459
82	171	455
83	173	451
84	174	448
85	176	446
86	178	443
87	180	440
88	181	437
89	183	434
90	184	430
91	186	426
92	188	424
93	189	422
94	197	431
95	199	430
96	201	427
97	202	424
98	204	420
99	205	417
100	208	416
101	210	414
102	212	411
103	213	408
104	215	405
105	216	403
106	218	400
107	220	397
108	221	395
109	224	393
110	226	391
111	228	389
112	229	386
113	231	383
114	232	380
115	234	377
116	235	374
117	237	373
118	240	371
119	241	368
120	243	365
121	245	363
122	247	361
123	251	362
124	253	360
125	255	358
126	257	356
127	259	354
128	260	351
129	262	348
130	263	345
131	264	343
132	266	340
133	267	337
134	271	337
135	272	334
136	274	332
137	275	329
138	276	326
139	278	323
140	279	320
141	280	318
142	282	315
143	283	313
144	285	311
145	287	309
146	288	306
147	289	303
148	291	301
149	292	298
150	293	295
151	295	293
152	296	290
153	297	288
154	300	286
155	301	284
156	302	281
157	304	279
158	305	276
159	306	274
160	308	271
161	309	269
162	310	267
163	312	264
164	313	262
165	315	260
166	317	258
167	318	255
168	319	253
169	321	251
170	322	249
171	323	246
172	325	244
173	327	242
174	329	240
175	332	239
176	333	237
177	335	235
178	336	233
179	338	231
180	339	228
181	340	226
182	342	224
183	343	222
184	344	219
185	347	218
186	348	216
187	349	213
188	351	211
189	352	209
190	353	207
191	355	205
192	356	203
193	357	201
194	359	198
195	360	196
196	362	195
197	364	193
198	365	190
199	366	188
200	368	186
201	369	184
202	370	182
203	372	180
204	373	178
205	374	176
206	376	174
207	378	173
208	380	171
209	381	169
210	383	167
211	384	165
212	386	163
213	387	161
214	388	159
215	390	157
216	391	155
217	393	153
218	394	151
219	396	149
220	397	147
221	399	145
222	400	143
223	401	141
224	403	139
225	404	137
226	406	135
227	407	134
228	409	132
229	410	130
230	412	128
231	413	126
232	415	124
233	416	122
234	417	120
235	418	118
236	420	117
237	421	115
238	422	113
239	426	111
240	427	110
241	429	108
242	431	106
243	432	104
244	434	102
245	436	101
246	437	99
247	439	97
248	441	95
249	442	93
250	444	92
251	445	90
252	446	88
253	448	86
254	449	84
255	450	82
256	452	80
257	453	79
258	455	77
259	456	75
260	458	73
261	460	72
262	461	70
263	462	68
264	464	66
265	465	64
266	466	62
267	468	61
268	469	59
269	471	57
270	473	55
271	474	54
272	475	52
273	477	50
274	478	48
275	479	46
276	481	45
277	482	43
278	483	41
279	485	39
280	487	38
281	488	36
282	490	34
283	491	32
284	492	31
285	494	29
286	495	27
287	496	25
288	498	24
289	499	22
290	502	20
291	503	18
292	505	17
293	506	15
294	507	13
295	509	12
296	510	10
297	511	8
298	513	6
299	514	5
300	515	3
301	518	1
302	519	0
